Time,×ó²à left,ÓÒ²à offside,,,,,,,,
18:04,67.6,49,,,,,,,,
18:05,67.6,49,,,,,,,,
18:05,67.6,49,,,,,,,,
18:05,67.7,49,,,,,,,,
18:05,67.8,49,,,,,,,,
18:05,67.8,49,,,,,,,,
18:05,67.8,49,,,,,,,,
18:05,67.8,49.1,,,,,,,,
18:05,67.8,49.1,,,,,,,,
18:05,67.8,49.1,,,,,,,,
18:05,67.8,49.1,,,,,,,,
18:05,67.8,49.1,,,,,,,,
18:05,67.9,49.1,,,,,,,,
18:05,67.9,49.1,,,,,,,,
18:05,67.9,49.1,,,,,,,,
18:05,68,49.1,,,,,,,,
18:05,68.1,49.2,,,,,,,,
18:05,68.1,49.2,,,,,,,,
18:05,68.1,49.2,,,,,,,,
18:05,68.1,49.3,,,,,,,,
18:05,68.1,49.3,,,,,,,,
18:05,68.1,49.2,,,,,,,,
18:05,68.2,49.3,,,,,,,,
18:05,68.2,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.4,49.3,,,,,,,,
18:05,68.3,49.3,,,,,,,,
18:05,68.4,49.3,,,,,,,,
18:05,68.4,49.4,,,,,,,,
18:05,68.4,49.4,,,,,,,,
18:05,68.4,49.3,,,,,,,,
18:05,68.4,49.4,,,,,,,,
18:05,68.5,49.4,,,,,,,,
18:05,68.5,49.4,,,,,,,,
18:05,68.5,49.4,,,,,,,,
18:05,68.5,49.4,,,,,,,,
18:05,68.6,49.4,,,,,,,,
18:05,68.5,49.4,,,,,,,,
18:05,68.6,49.4,,,,,,,,
18:05,68.6,49.4,,,,,,,,
18:05,68.6,49.4,,,,,,,,
18:05,68.6,49.4,,,,,,,,
18:05,68.6,49.4,,,,,,,,
18:05,68.6,49.4,,,,,,,,
18:05,68.7,49.5,,,,,,,,
18:05,68.7,49.4,,,,,,,,
18:05,68.8,49.4,,,,,,,,
18:05,68.8,49.5,,,,,,,,
18:05,68.8,49.5,,,,,,,,
18:05,68.8,49.5,,,,,,,,
18:05,68.8,49.5,,,,,,,,
18:05,68.9,49.5,,,,,,,,
18:05,68.9,49.5,,,,,,,,
18:05,68.9,49.5,,,,,,,,
18:06,68.9,49.5,,,,,,,,
18:06,68.9,49.5,,,,,,,,
18:06,68.9,49.5,,,,,,,,
18:06,69,49.5,,,,,,,,
18:06,69,49.5,,,,,,,,
18:06,69.1,49.5,,,,,,,,
18:06,69.1,49.5,,,,,,,,
18:06,69.1,49.4,,,,,,,,
18:06,69.1,49.5,,,,,,,,
18:06,69.1,49.5,,,,,,,,
18:06,69.2,49.5,,,,,,,,
18:06,69.2,49.5,,,,,,,,
18:06,69.2,49.5,,,,,,,,
18:06,69.2,49.5,,,,,,,,
18:06,69.2,49.5,,,,,,,,
18:06,69.3,49.5,,,,,,,,
18:06,69.3,49.5,,,,,,,,
18:06,69.3,49.5,,,,,,,,
18:06,69.3,49.5,,,,,,,,
18:06,69.3,49.6,,,,,,,,
18:06,69.3,49.6,,,,,,,,
18:06,69.3,49.6,,,,,,,,
18:06,69.3,49.6,,,,,,,,
18:06,69.4,49.6,,,,,,,,
18:06,69.3,49.6,,,,,,,,
18:06,69.4,49.6,,,,,,,,
18:06,69.4,49.6,,,,,,,,
18:06,69.4,49.6,,,,,,,,
18:06,69.4,49.6,,,,,,,,
18:06,69.4,49.7,,,,,,,,
18:06,69.4,49.7,,,,,,,,
18:06,69.5,49.7,,,,,,,,
18:06,69.6,49.7,,,,,,,,
18:06,69.6,49.8,,,,,,,,
18:06,69.6,49.7,,,,,,,,
18:06,69.7,49.8,,,,,,,,
18:06,69.7,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.8,49.8,,,,,,,,
18:06,69.9,49.8,,,,,,,,
18:06,69.9,49.8,,,,,,,,
18:06,69.9,49.8,,,,,,,,
18:06,70,49.8,,,,,,,,
18:06,70,49.9,,,,,,,,
18:06,70,49.9,,,,,,,,
18:06,70.1,49.9,,,,,,,,
18:06,70.1,49.9,,,,,,,,
18:06,70.1,49.9,,,,,,,,
18:06,70.1,49.9,,,,,,,,
18:06,70.1,49.9,,,,,,,,
18:06,70.1,49.9,,,,,,,,
18:06,70.2,49.9,,,,,,,,
18:06,70.2,49.9,,,,,,,,
18:06,70.2,50,,,,,,,,
18:07,70.2,50,,,,,,,,
18:07,70.2,50,,,,,,,,
18:07,70.2,50,,,,,,,,
18:07,70.3,50.1,,,,,,,,
18:07,70.3,50.1,,,,,,,,
18:07,70.3,50.1,,,,,,,,
18:07,70.4,50.1,,,,,,,,
18:07,70.4,50.1,,,,,,,,
18:07,70.4,50.1,,,,,,,,
18:07,70.4,50.1,,,,,,,,
18:07,70.4,50.1,,,,,,,,
18:07,70.4,50.1,,,,,,,,
